Route CouplingHop CouplingFFTT
A|L(1) 35.4838709677 30.7866440294
A|L(2) 36.2903225806 28.5275400483
A|L(3) 22.5806451613 13.8689130881
A|L(4) 33.8709677419 29.9539170507
A|L(5) 34.1935483871 28.0504908836
A|L(6) 28.3870967742 20.0618647813
A|L(7) 27.4193548387 18.5440745213
A|L(8) 22.5806451613 16.42228739
A|M(1) 30.9677419355 25.1978088862
A|M(2) 34.8387096774 26.5987549519
A|M(3) 30.9677419355 24.5614035088
A|M(4) 23.3870967742 13.3859995611
A|M(5) 33.064516129 23.2609172701
A|M(6) 29.8387096774 19.5303928023
A|M(7) 19.3548387097 12.7974616605
A|M(8) 25.8064516129 20.3144140465
B|L(1) 30.9677419355 26.1042183623
B|L(2) 30.6451612903 24.2418389028
B|L(3) 31.7204301075 27.1837622327
B|L(4) 31.6129032258 25.4529385771
B|L(5) 20.6451612903 13.6573104315
B|L(6) 25.8064516129 20.7722385142
B|L(7) 30.8755760369 26.9477688833
B|L(8) 24.5161290323 19.3548387097
B|M(1) 24.1935483871 16.6804521643
B|M(2) 26.6129032258 20.0660401321
B|M(3) 21.2903225806 15.8646218932
B|M(4) 21.2903225806 14.888337469
B|M(5) 30.3225806452 22.4317617866
B|M(6) 26.4516129032 20.6451612903
B|M(7) 27.9569892473 22.5614439324
B|M(8) 27.4193548387 19.6059493915
