Route CouplingHop CouplingFFTT
A|L(1) 36.8421052632 32.5023084026
A|L(2) 39.4736842105 31.328320802
A|L(3) 23.6842105263 14.9178679182
A|L(4) 30.701754386 25.6892230576
A|L(5) 31.5789473684 24.8665141114
A|M(1) 31.5789473684 25.819265144
A|M(2) 37.8947368421 30.2862419206
A|M(3) 32.6315789474 26.4081255771
A|M(4) 22.3684210526 10.9201575367
A|M(5) 35.5263157895 24.8836376656
B|L(1) 27.3684210526 22.5101214575
B|L(2) 27.6315789474 21.7459817208
B|L(3) 32.4561403509 28.0898876404
B|L(4) 33.6842105263 27.2530641673
B|L(5) 21.0526315789 14.0806561859
B|M(1) 21.0526315789 11.6959064327
B|M(2) 27.6315789474 21.7571487775
B|M(3) 20.0 14.6678170837
B|M(4) 18.9473684211 11.6599190283
B|M(5) 28.4210526316 20.5668016194
